Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
ALV,Autoliv Inc,Common Stock,117.51,$8.59B,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,NYSE
AMZN,Amazon.com Inc,Common Stock,247.55,$2.69T,Consumer Discretionary,Broadline Retail,Broadline Retail,NASDAQ
AN,AutoNation Inc,Common Stock,198.48,$6.62B,Consumer Discretionary,Specialty Retail,Automotive Retail,NYSE
AZO,AutoZone Inc,Common Stock,3013.03,$48.88B,Consumer Discretionary,Specialty Retail,Automotive Retail,NYSE
BBY,Best Buy Co Inc,Common Stock,85.22,$17.94B,Consumer Discretionary,Specialty Retail,Computer & Electronics Retail,NYSE
BC,Brunswick Corp,Common Stock,80.59,$5.14B,Consumer Discretionary,Leisure Products,Leisure Products,NYSE
BWA,BorgWarner Inc,Common Stock,63.63,$12.64B,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,NYSE
BYD,Boyd Gaming Corp,Common Stock,87.17,$6.55B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,NYSE
CCL,Carnival Corp Ltd,Common Stock,26.16,$35.67B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NYSE
CHDN,Churchill Downs Inc,Common Stock,83.33,$5.83B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,NASDAQ
CHH,Choice Hotels International Inc.,Common Stock,108.13,$5.00B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NYSE
TPR,Tapestry Inc,Common Stock,142.16,$28.51B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",NYSE
TCOM,Trip com Group Ltd,Depository Receipt,43.65,$28.88B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NASDAQ
DDS,Dillard's Inc.,Common Stock,568.27,$8.68B,Consumer Discretionary,Broadline Retail,Broadline Retail,NYSE
DECK,Deckers Outdoor Corp,Common Stock,103.31,$14.45B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear,NYSE
DHI,D.R. Horton Inc,Common Stock,143.52,$41.06B,Consumer Discretionary,Household Durables,Homebuilding,NYSE
DKS,DICK'S Sporting Goods Inc,Common Stock,208.41,$19.18B,Consumer Discretionary,Specialty Retail,Other Specialty Retail,NYSE
DPZ,Domino's Pizza Inc,Common Stock,326.34,$10.94B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NASDAQ
DRI,Darden Restaurants Inc,Common Stock,193.39,$22.31B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NYSE
EAT,Brinker International Inc.,Common Stock,192.83,$8.36B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NYSE
EBAY,eBay Inc.,Common Stock,113.045,$50.70B,Consumer Discretionary,Broadline Retail,Broadline Retail,NASDAQ
F,Ford Motor Co,Common Stock,14.27,$55.75B,Consumer Discretionary,Automobiles,Automobile Manufacturers,NYSE
M,Macy's Inc,Common Stock,23.8,$6.13B,Consumer Discretionary,Broadline Retail,Broadline Retail,NYSE
STLA,Stellantis NV,Common Stock,5.78,$16.66B,Consumer Discretionary,Automobiles,Automobile Manufacturers,NYSE
GIL,Gildan Activewear Inc,Common Stock,53.73,$10.10B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",NYSE
GME,GameStop Corp.,Common Stock,21.79,$9.76B,Consumer Discretionary,Specialty Retail,Computer & Electronics Retail,NYSE
GNTX,Gentex Corporation,Common Stock,23.96,$5.10B,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,NASDAQ
GPC,Genuine Parts Co,Common Stock,119.12,$16.85B,Consumer Discretionary,Distributors,Distributors,NYSE
GAP,Gap Inc,Common Stock,19.6,$7.16B,Consumer Discretionary,Specialty Retail,Apparel Retail,NYSE
GRMN,Garmin Ltd,Common Stock,236.65,$47.21B,Consumer Discretionary,Household Durables,Consumer Electronics,NYSE
HAS,Hasbro Inc.,Common Stock,88.78,$11.54B,Consumer Discretionary,Leisure Products,Leisure Products,NASDAQ
