Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
ADM,Archer-Daniels-Midland Co,Common Stock,86.2,$41.29B,Consumer Staples,Food Products,Agricultural Products & Services,NYSE
BF-B,Brown-Forman Corp,Common Stock,26.29,$7.67B,Consumer Staples,Beverages,Distillers & Vintners,NYSE
BG,Bunge Global SA,Common Stock,121.55,$23.38B,Consumer Staples,Food Products,Agricultural Products & Services,NYSE
BTI,British American Tobacco PLC,Depository Receipt,61.42,$135.21B,Consumer Staples,Tobacco,Tobacco,NYSE
CAG,Conagra Brands Inc,Common Stock,14.85,$7.01B,Consumer Staples,Food Products,Packaged Foods & Meats,NYSE
CASY,Casey's General Stores Inc.,Common Stock,858.26,$32.06B,Consumer Staples,Consumer Staples Distribution & Retail,Food Retail,NASDAQ
CCEP,Coca-Cola Europacific Partners PLC,Common Stock,105.19,$47.04B,Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,NASDAQ
CHD,Church & Dwight Co Inc,Common Stock,95.75,$23.17B,Consumer Staples,Household Products,Household Products,NYSE
CL,Colgate-Palmolive Co,Common Stock,90.5,$73.56B,Consumer Staples,Household Products,Household Products,NYSE
CLX,Clorox Co (The),Common Stock,95.69,$11.64B,Consumer Staples,Household Products,Household Products,NYSE
COKE,Coca Cola Consolidated Inc,Common Stock,183.09,$12.11B,Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,NASDAQ
COST,Costco Wholesale Corp,Common Stock,929.22,$415.01B,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,NASDAQ
PRMB,Primo Brands Corp,Common Stock,23.69,$8.82B,Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,NYSE
CPB,Campbell's Co (The),Common Stock,22.34,$6.59B,Consumer Staples,Food Products,Packaged Foods & Meats,NASDAQ
INGR,Ingredion Inc,Common Stock,101.8,$6.46B,Consumer Staples,Food Products,Agricultural Products & Services,NYSE
DAR,Darling Ingredients Inc,Common Stock,63.91,$10.09B,Consumer Staples,Food Products,Agricultural Products & Services,NYSE
DEO,Diageo PLC,Depository Receipt,83.55,$47.23B,Consumer Staples,Beverages,Distillers & Vintners,NYSE
DLTR,Dollar Tree Inc,Common Stock,125.74,$24.29B,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,NASDAQ
EL,Estee Lauder Cos Inc (The),Common Stock,82.37,$30.26B,Consumer Staples,Personal Care Products,Personal Care Products,NYSE
FMX,Fomento Economico Mexican SAB de CV,Depository Receipt,130.35,$25.61B,Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,NYSE
GIS,General Mills Inc.,Common Stock,37.15,$20.06B,Consumer Staples,Food Products,Packaged Foods & Meats,NYSE
