Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
APA,APA Corporation,Common Stock,35.77,$12.31B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NASDAQ
BKR,Baker Hughes a GE Co,Common Stock,56.38,$54.71B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NASDAQ
BP,BP plc,Depository Receipt,42.76,$109.92B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
CCJ,Cameco Corp,Common Stock,88.68,$36.95B,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,NYSE
CNQ,Canadian Natural Resources Ltd,Common Stock,44.9,$91.22B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
COP,Conocophillips,Common Stock,117.5,$140.93B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
CVX,Chevron Corp,Common Stock,191.07,$377.83B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
DVN,Devon Energy Corp,Common Stock,44.1,$50.50B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
E,Eni SpA,Depository Receipt,50.19,$72.78B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
OVV,Ovintiv Inc,Common Stock,59.37,$15.99B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
ENB,Enbridge Inc,Common Stock,55.46,$121.72B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
EOG,EOG Resources Inc.,Common Stock,143.44,$75.15B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
EPD,Enterprise Products Partners LP,Unit Trust Fund,38.56,$83.90B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
EQT,EQT Corp,Common Stock,49.8,$30.68B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
FRO,Frontline plc,Common Stock,38.45,$8.22B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
FTI,TechnipFMC plc,Common Stock,74.62,$28.73B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NYSE
GLNG,Golar LNG Ltd,Common Stock,49.76,$5.05B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NASDAQ
HAL,Halliburton Co,Common Stock,33.19,$29.33B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NYSE
IMO,Imperial Oil Ltd,Common Stock,124.22,$59.37B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,AMEX
LNG,Cheniere Energy Inc,Common Stock,262.59,$55.52B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
MUR,Murphy Oil Corp,Common Stock,37.3,$5.28B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
NOV,NOV Inc,Common Stock,20.19,$7.02B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NYSE
OKE,ONEOK Inc,Common Stock,91.83,$58.95B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
OXY,Occidental Petroleum Corp,Common Stock,56.5,$54.89B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
PAA,Plains All American Pipeline LP,Unit Trust Fund,24.29,$17.15B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NASDAQ
PBR,Petroleo Brasileiro S.A.- Petrobras,Depository Receipt,18.54,$67.69B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
RIG,Transocean Ltd,Common Stock,5.24,$5.60B,Energy,Energy Equipment & Services,Oil & Gas Drilling,NYSE
RRC,Range Resources Corp.,Common Stock,37.75,$8.64B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
SLB,SLB Ltd,Common Stock,46.59,$69.36B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NYSE
SM,SM Energy Co,Common Stock,32.22,$7.50B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
EQNR,Equinor ASA,Depository Receipt,37.59,$93.39B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
SU,Suncor Energy Inc.,Common Stock,63.7,$73.50B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
TTE,TotalEnergies SE,Common Stock,83.53,$179.71B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
TPL,Texas Pacific Land Corp,Common Stock,418.91,$27.99B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
TRP,TC Energy Corp,Common Stock,68.67,$71.37B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
TS,Tenaris SA,Depository Receipt,56.98,$28.32B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NYSE
VLO,Valero Energy Corp,Common Stock,314.8,$93.03B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,NYSE
WFRD,Weatherford International plc,Common Stock,83.32,$5.61B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NASDAQ
WMB,Williams Cos Inc. (The),Common Stock,73.36,$90.70B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
WDS,Woodside Energy Group Ltd,Depository Receipt,22.23,$41.16B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
YPF,Ypf Sociedad Anonima Yacimientos Petroliferos Fisc,Depository Receipt,51.33,$19.84B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
DINO,HF Sinclair Corp,Common Stock,91.69,$16.30B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,NYSE
ET,Energy Transfer LP,Unit Trust Fund,20.25,$69.83B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
AROC,Archrock Inc,Common Stock,38.29,$6.49B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NYSE
EC,Ecopetrol SA,Depository Receipt,16.53,$32.96B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
CQP,Cheniere Energy Partners LP,Unit Trust Fund,63.76,$30.90B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
CVE,Cenovus Energy Inc,Common Stock,28.79,$52.58B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
PBA,Pembina Pipeline Corp,Common Stock,50.43,$29.48B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
TRGP,Targa Resources Corp,Common Stock,280.22,$60.60B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
KMI,Kinder Morgan Inc.,Common Stock,32.38,$72.48B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
MPC,Marathon Petroleum Corp,Common Stock,319.76,$92.05B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,NYSE
MTDR,Matador Resources Co,Common Stock,54.08,$6.64B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
PSX,Phillips 66,Common Stock,212.27,$83.72B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,NYSE
SUN,Sunoco LP,Unit Trust Fund,74.99,$15.34B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,NYSE
FANG,Diamondback Energy Inc,Common Stock,199.8,$54.96B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NASDAQ
MPLX,MPLX LP,Unit Trust Fund,56.49,$57.97B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
WES,Western Midstream Partners LP,Unit Trust Fund,46.59,$19.78B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
PBF,PBF Energy Inc,Common Stock,66.05,$7.55B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,NYSE
NXE,NexGen Energy Ltd,Common Stock,9.17,$5.78B,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,NYSE
AR,Antero Resources Corporation,Common Stock,33.86,$10.30B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
PAGP,Plains GP Holdings LP,Unit Trust Fund,25.98,$5.13B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NASDAQ
VNOM,Viper Energy Inc,Common Stock,44.86,$15.81B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NASDAQ
HESM,Hess Midstream LP,Common Stock,39.97,$8.29B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
PR,Permian Resources Corp,Common Stock,20.98,$16.98B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
KNTK,Kinetik Holdings Inc,Common Stock,50.93,$8.30B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
AM,Antero Midstream Corp,Common Stock,22.51,$10.73B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
VIST,Vista Energy SAB de CV,Depository Receipt,65.05,$6.66B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
CHRD,Chord Energy Corp,Common Stock,134.19,$7.25B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NASDAQ
EXE,Expand Energy Corporation,Common Stock,88.58,$20.80B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NASDAQ
VAL,Valaris Ltd,Common Stock,78.08,$5.19B,Energy,Energy Equipment & Services,Oil & Gas Drilling,NYSE
NE,Noble Corporation Plc,Common Stock,42.6,$6.48B,Energy,Energy Equipment & Services,Oil & Gas Drilling,NYSE
DTM,DT Midstream Inc,Common Stock,141.9,$14.67B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
SHEL,Shell Plc,Depository Receipt,87.2,$239.76B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
KGS,Kodiak Gas Services Inc,Common Stock,66.89,$6.50B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NYSE
SOBO,South Bow Corp,Common Stock,37.48,$7.78B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
VG,Venture Global Inc,Common Stock,14.06,$35.50B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
