Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
ABCB,Ameris Bancorp,Common Stock,82.2,$5.40B,Financials,Banks,Regional Banks,NYSE
CB,Chubb Ltd,Common Stock,332.64,$127.19B,Financials,Insurance,Property & Casualty Insurance,NYSE
ACGL,Arch Capital Group Ltd,Common Stock,98.6,$34.53B,Financials,Insurance,Property & Casualty Insurance,NASDAQ
AEG,Aegon Ltd,Depository Receipt,7.78,$11.25B,Financials,Insurance,Life & Health Insurance,NYSE
THG,Hanover Insurance Group Inc (The),Common Stock,178.63,$6.18B,Financials,Insurance,Property & Casualty Insurance,NYSE
AFG,American Financial Group Inc,Common Stock,131.88,$10.85B,Financials,Insurance,Property & Casualty Insurance,NYSE
AFL,Aflac Incorporated,Common Stock,113,$56.94B,Financials,Insurance,Life & Health Insurance,NYSE
AIG,American International Group Inc,Common Stock,77.43,$40.74B,Financials,Insurance,Property & Casualty Insurance,NYSE
AIZ,Assurant Inc.,Common Stock,223.69,$10.89B,Financials,Insurance,Property & Casualty Insurance,NYSE
AJG,Arthur J. Gallagher & Co.,Common Stock,220.8,$55.89B,Financials,Insurance,Insurance Brokers,NYSE
ALL,The Allstate Corporation,Common Stock,212.07,$54.64B,Financials,Insurance,Property & Casualty Insurance,NYSE
AMG,Affiliated Managers Group Inc.,Common Stock,286.48,$7.21B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
AON,Aon plc,Common Stock,329.76,$69.09B,Financials,Insurance,Insurance Brokers,NYSE
ARCC,ARES CAPITAL CORPORATION,Common Stock,18.17,$12.96B,Financials,Capital Markets,Asset Management & Custody Banks,NASDAQ
IVZ,Invesco Ltd,Common Stock,24.21,$10.09B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
AXP,American Express Co,Common Stock,316.34,$210.56B,Financials,Consumer Finance,Consumer Finance,NYSE
AXS,AXIS Capital Holdings Ltd,Common Stock,102.89,$7.49B,Financials,Insurance,Property & Casualty Insurance,NYSE
BAC,Bank of America Corp,Common Stock,51.88,$359.29B,Financials,Banks,Diversified Banks,NYSE
BAP,Credicorp Ltd,Common Stock,352.25,$26.78B,Financials,Banks,Diversified Banks,NYSE
TFC,Truist Financial Corp,Common Stock,49.29,$59.36B,Financials,Banks,Regional Banks,NYSE
BCH,Banco De Chile,Depository Receipt,37.89,$18.32B,Financials,Banks,Diversified Banks,NYSE
CM,Canadian Imperial Bank of Commerce,Common Stock,100.97,$90.83B,Financials,Banks,Diversified Banks,NYSE
BCS,Barclays PLC,Depository Receipt,23.51,$75.18B,Financials,Banks,Diversified Banks,NYSE
BEN,Franklin Resources Inc,Common Stock,24.88,$12.38B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
WRB,Berkley (W.R.) Corp,Common Stock,67.22,$24.97B,Financials,Insurance,Property & Casualty Insurance,NYSE
BK,Bank of New York Mellon Corp (The),Common Stock,127.94,$85.77B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
BLK,BlackRock Inc,Common Stock,1001.54,$149.08B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
FRHC,Freedom Holding Corp,Common Stock,157.27,$9.39B,Financials,Capital Markets,Investment Banking & Brokerage,NASDAQ
BMO,Bank of Montreal,Common Stock,141,$97.58B,Financials,Banks,Diversified Banks,NYSE
BN,Brookfield Corp,Common Stock,42.05,$99.95B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
BNS,The Bank of Nova Scotia,Common Stock,71.34,$86.08B,Financials,Banks,Diversified Banks,NYSE
BOKF,BOK Financial Corp,Common Stock,134.21,$7.96B,Financials,Banks,Regional Banks,NASDAQ
BPOP,Popular Inc,Common Stock,145.37,$9.21B,Financials,Banks,Regional Banks,NASDAQ
BRK-B,Berkshire Hathaway Inc,Common Stock,479.75,$664.88B,Financials,Financial Services,Multi-Sector Holdings,NYSE
BRO,Brown & Brown Inc,Common Stock,67.76,$22.54B,Financials,Insurance,Insurance Brokers,NYSE
C,Citigroup Inc,Common Stock,123.49,$200.87B,Financials,Banks,Diversified Banks,NYSE
CBSH,Commerce Bancshares Inc,Common Stock,50.8,$7.34B,Financials,Banks,Regional Banks,NASDAQ
FIS,Fidelity National Information Services Inc,Common Stock,47.01,$23.77B,Financials,Financial Services,Transaction & Payment Processing Services,NYSE
CFR,Cullen/Frost Bankers Inc,Common Stock,143.02,$8.83B,Financials,Banks,Regional Banks,NYSE
CIB,Grupo Cibest S.A,Depository Receipt,75.36,$8.26B,Financials,Banks,Diversified Banks,NYSE
CINF,Cincinnati Financial Corp,Common Stock,163.25,$24.94B,Financials,Insurance,Property & Casualty Insurance,NASDAQ
CME,CME Group Inc,Common Stock,302.81,$112.68B,Financials,Capital Markets,Financial Exchanges & Data,NASDAQ
CNA,CNA Financial Corp,Common Stock,47.41,$12.55B,Financials,Insurance,Property & Casualty Insurance,NYSE
COF,Capital One Financial Corp,Common Stock,192.46,$112.66B,Financials,Consumer Finance,Consumer Finance,NYSE
COLB,Columbia Banking System Inc,Common Stock,28.88,$8.03B,Financials,Banks,Regional Banks,NASDAQ
DB,Deutsche Bank AG,Common Stock,32.16,$57.58B,Financials,Capital Markets,Diversified Capital Markets,NYSE
