Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
A,Agilent Technologies Inc,Common Stock,132.86,$36.79B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NYSE
COR,Cencora Inc,Common Stock,303.07,$59.14B,Health Care,Health Care Providers & Services,Health Care Distributors,NYSE
ABT,Abbott Laboratories,Common Stock,99.67,$177.07B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NYSE
ALGN,Align Technology Inc,Common Stock,177.5,$12.54B,Health Care,Health Care Equipment & Supplies,Health Care Supplies,NASDAQ
ALKS,Alkermes Plc,Common Stock,52.85,$8.62B,Health Care,Biotechnology,Biotechnology,NASDAQ
ALNY,Alnylam Pharmaceuticals Inc,Common Stock,271.37,$36.40B,Health Care,Biotechnology,Biotechnology,NASDAQ
TVTX,Travere Therapeutics Inc,Common Stock,56.58,$5.16B,Health Care,Biotechnology,Biotechnology,NASDAQ
AMGN,Amgen Inc,Common Stock,366.24,$196.55B,Health Care,Biotechnology,Biotechnology,NASDAQ
ARWR,Arrowhead Pharmaceuticals Inc,Common Stock,74.52,$10.09B,Health Care,Biotechnology,Biotechnology,NASDAQ
AZN,Astrazeneca PLC,Common Stock,169.34,$255.17B,Health Care,Pharmaceuticals,Pharmaceuticals,NYSE
BAX,Baxter International Inc,Common Stock,22.21,$11.40B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NYSE
BDX,Becton Dickinson and Co,Common Stock,153.84,$42.57B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NYSE
BIIB,Biogen Inc,Common Stock,203.16,$29.52B,Health Care,Biotechnology,Biotechnology,NASDAQ
BIO,Bio-Rad Laboratories Inc,Common Stock,301.7,$6.55B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NYSE
BMRN,BioMarin Pharmaceutical Inc,Common Stock,59.21,$11.43B,Health Care,Biotechnology,Biotechnology,NASDAQ
BMY,Bristol-Myers Squibb Co,Common Stock,60.93,$122.85B,Health Care,Pharmaceuticals,Pharmaceuticals,NYSE
BRKR,Bruker Corporation,Common Stock,60.43,$8.55B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NASDAQ
BSX,Boston Scientific Corp,Common Stock,43.19,$65.06B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NYSE
CAH,Cardinal Health Inc,Common Stock,227.09,$52.87B,Health Care,Health Care Providers & Services,Health Care Distributors,NYSE
CHE,Chemed Corp,Common Stock,504.1,$6.82B,Health Care,Health Care Providers & Services,Health Care Services,NYSE
CI,The Cigna Group,Common Stock,290.49,$75.11B,Health Care,Health Care Providers & Services,Health Care Services,NYSE
CNC,Centene Corp,Common Stock,67.59,$32.51B,Health Care,Health Care Providers & Services,Managed Health Care,NYSE
COO,Cooper Cos Inc (The),Common Stock,71.01,$13.96B,Health Care,Health Care Equipment & Supplies,Health Care Supplies,NASDAQ
CORT,Corcept Therapeutics Inc,Common Stock,95.65,$9.83B,Health Care,Pharmaceuticals,Pharmaceuticals,NASDAQ
CRL,Charles River Laboratories International Inc,Common Stock,219.4,$10.58B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NYSE
CVS,CVS Health Corp,Common Stock,110.6,$137.30B,Health Care,Health Care Providers & Services,Health Care Services,NYSE
CYTK,Cytokinetics Inc,Common Stock,81.11,$10.73B,Health Care,Biotechnology,Biotechnology,NASDAQ
DGX,Quest Diagnostics Inc,Common Stock,206.84,$22.99B,Health Care,Health Care Providers & Services,Health Care Services,NYSE
DHR,Danaher Corp,Common Stock,179.01,$142.34B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NYSE
DVA,DaVita Inc,Common Stock,237.28,$15.03B,Health Care,Health Care Providers & Services,Health Care Services,NYSE
