Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
HWM,Howmet Aerospace Inc,Common Stock,279,$108.82B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
AAON,AAON Inc,Common Stock,105.61,$8.51B,Industrials,Building Products,Building Products,NASDAQ
IEP,Icahn Enterprises LP,Unit Trust Fund,7.69,$5.07B,Industrials,Industrial Conglomerates,Industrial Conglomerates,NASDAQ
ADP,Automatic Data Processing Inc,Common Stock,246.22,$102.03B,Industrials,Professional Services,Human Resource & Employment Services,NASDAQ
AGCO,AGCO Corp,Common Stock,111.79,$8.13B,Industrials,Machinery,Agricultural & Farm Machinery,NYSE
AGX,Argan Inc,Common Stock,605.52,$8.44B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
AIR,AAR Corp,Common Stock,141.4,$5.40B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
AIT,Applied Industrial Technologies Inc,Common Stock,341.13,$12.42B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
MATX,Matson Inc,Common Stock,219.19,$6.61B,Industrials,Marine Transportation,Marine Transportation,NYSE
ALK,Alaska Air Group Inc,Common Stock,45.46,$5.13B,Industrials,Passenger Airlines,Passenger Airlines,NYSE
AME,AMETEK Inc,Common Stock,237.76,$53.91B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
AOS,A. O. Smith Corp,Common Stock,58.76,$8.12B,Industrials,Building Products,Building Products,NYSE
ASR,Grupo Aeroportuario del Sureste SAB de CV,Depository Receipt,274.96,$8.23B,Industrials,Transportation Infrastructure,Airport Services,NYSE
ATI,ATI Inc,Common Stock,197.21,$25.42B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
AYI,Acuity Inc,Common Stock,326.07,$9.78B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
BA,Boeing Co,Common Stock,204.8,$165.13B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
CACI,CACI International Inc,Common Stock,440.76,$9.97B,Industrials,Professional Services,Research & Consulting Services,NYSE
CAT,Caterpillar Inc,Common Stock,889.97,$398.09B,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,NYSE
CAR,Avis Budget Group Inc,Common Stock,162.24,$5.64B,Industrials,Ground Transportation,Passenger Ground Transportation,NASDAQ
CAE,CAE Inc.,Common Stock,24.43,$7.90B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
CHRW,C.H. Robinson Worldwide Inc.,Common Stock,209.42,$24.26B,Industrials,Air Freight & Logistics,Air Freight & Logistics,NASDAQ
CLH,Clean Harbors Inc,Common Stock,305.16,$16.39B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
CMI,Cummins Inc.,Common Stock,660.45,$88.23B,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,NYSE
CNI,Canadian National Railway Co,Common Stock,127.1,$77.46B,Industrials,Ground Transportation,Rail Transportation,NYSE
CP,Canadian Pacific Kansas City Ltd,Common Stock,91.16,$81.37B,Industrials,Ground Transportation,Rail Transportation,NYSE
