Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
NVDA,NVIDIA Corporation,Common Stock,207.29,$4.92T,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,NASDAQ
AAPL,Apple Inc,Common Stock,327.74,$4.80T,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",NASDAQ
MSFT,Microsoft Corp,Common Stock,397.75,$2.99T,Information Technology,Software,Systems Software,NASDAQ
TSM,Taiwan Semiconductor Manufacturing Co Ltd,Depository Receipt,424.61,$2.09T,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,NYSE
AVGO,Broadcom Inc,Common Stock,386.5,$1.80T,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,NASDAQ
MU,Micron Technology Inc.,Common Stock,970.82,$977.44B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,NASDAQ
AMD,Advanced Micro Devices Inc,Common Stock,544.43,$821.12B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,NASDAQ
ASML,ASML Holding NV,Depository Receipt,1801.51,$667.96B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,NASDAQ
INTC,Intel Corp,Common Stock,105.45,$487.82B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,NASDAQ
CSCO,Cisco Systems Inc,Common Stock,112.18,$436.32B,Information Technology,Communications Equipment,Communications Equipment,NASDAQ
AMAT,Applied Materials Inc,Common Stock,564.55,$417.38B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,NASDAQ
LRCX,Lam Research Corp,Common Stock,322,$383.63B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,NASDAQ
ORCL,Oracle Corp,Common Stock,127.05,$349.63B,Information Technology,Software,Systems Software,NYSE
PLTR,Palantir Technologies Inc,Common Stock,132.66,$323.28B,Information Technology,Software,Application Software,NASDAQ
ARM,Arm Holdings plc,Depository Receipt,289.73,$287.96B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,NASDAQ
PANW,Palo Alto Networks Inc,Common Stock,342.15,$284.16B,Information Technology,Software,Systems Software,NASDAQ
KLAC,KLA Corp,Common Stock,217.56,$271.18B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,NASDAQ
TXN,Texas Instruments Inc,Common Stock,291.3,$258.53B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,NASDAQ
DELL,Dell Technologies Inc,Common Stock,404.15,$246.75B,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",NYSE
ANET,Arista Networks Inc,Common Stock,174.58,$213.25B,Information Technology,Communications Equipment,Communications Equipment,NYSE
SNDK,Sandisk Corp,Common Stock,1589.4,$205.99B,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",NASDAQ
CRWD,CrowdStrike Holdings Inc,Common Stock,191.15,$202.13B,Information Technology,Software,Systems Software,NASDAQ
IBM,International Business Machines Corp,Common Stock,210.5,$200.20B,Information Technology,IT Services,IT Consulting & Other Services,NYSE
APH,Amphenol Corp,Common Stock,157.81,$185.16B,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components,NYSE
SAP,SAP SE,Depository Receipt,154.34,$184.88B,Information Technology,Software,Application Software,NYSE
STX,Seagate Technology Holdings plc,Common Stock,891.83,$181.56B,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",NASDAQ
ADI,Analog Devices Inc,Common Stock,382.81,$181.42B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,NASDAQ
QCOM,QUALCOMM Inc.,Common Stock,173.5,$179.52B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,NASDAQ
MRVL,Marvell Technology Inc,Common Stock,207.96,$170.72B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,NASDAQ
