Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
B,Barrick Mining Corporation,Common Stock,36.37,$58.46B,Materials,Metals & Mining,Gold,NYSE
AEM,Agnico Eagle Mines Ltd,Common Stock,141.62,$68.17B,Materials,Metals & Mining,Gold,NYSE
AGI,Alamos Gold Inc,Common Stock,29.52,$11.79B,Materials,Metals & Mining,Gold,NYSE
ALB,Albemarle Corp,Common Stock,118.62,$13.94B,Materials,Chemicals,Specialty Chemicals,NYSE
APD,Air Products and Chemicals Inc.,Common Stock,296.39,$66.05B,Materials,Chemicals,Industrial Gases,NYSE
ATR,AptarGroup Inc.,Common Stock,128.91,$8.29B,Materials,Containers & Packaging,"Metal, Glass & Plastic Containers",NYSE
AU,AngloGold Ashanti plc,Common Stock,78.5,$37.86B,Materials,Metals & Mining,Gold,NYSE
AVY,Avery Dennison Corp,Common Stock,155.75,$12.11B,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,NYSE
BCPC,Balchem Corp,Common Stock,161.12,$5.24B,Materials,Chemicals,Specialty Chemicals,NASDAQ
BHP,BHP Group Ltd,Depository Receipt,83.45,$204.47B,Materials,Metals & Mining,Diversified Metals & Mining,NYSE
BALL,Ball Corporation,Common Stock,62.55,$16.57B,Materials,Containers & Packaging,"Metal, Glass & Plastic Containers",NYSE
BVN,Compania de Minas Buenaventura SAA,Depository Receipt,31.25,$8.26B,Materials,Metals & Mining,Diversified Metals & Mining,NYSE
MTRN,Materion Corp,Common Stock,254.83,$5.03B,Materials,Metals & Mining,Diversified Metals & Mining,NYSE
CCK,Crown Holdings Inc,Common Stock,117.99,$12.80B,Materials,Containers & Packaging,"Metal, Glass & Plastic Containers",NYSE
CDE,Coeur Mining Inc,Common Stock,15.3,$14.59B,Materials,Metals & Mining,Gold,NYSE
CLF,Cleveland-Cliffs Inc,Common Stock,9.25,$5.12B,Materials,Metals & Mining,Steel,NYSE
CMC,Commercial Metals Co,Common Stock,67.7,$7.25B,Materials,Metals & Mining,Steel,NYSE
CRH,CRH PLC,Common Stock,99.74,$66.79B,Materials,Construction Materials,Construction Materials,NYSE
CX,CEMEX SAB de CV,Depository Receipt,12.7,$18.93B,Materials,Construction Materials,Construction Materials,NYSE
ECL,Ecolab Inc.,Common Stock,264.2,$75.61B,Materials,Chemicals,Specialty Chemicals,NYSE
EGO,Eldorado Gold Corp,Common Stock,30.46,$7.24B,Materials,Metals & Mining,Gold,NYSE
EMN,Eastman Chemical Co,Common Stock,68.99,$7.78B,Materials,Chemicals,Specialty Chemicals,NYSE
EXP,Eagle Materials Inc,Common Stock,205.01,$6.23B,Materials,Construction Materials,Construction Materials,NYSE
FCX,Freeport-McMoRan Inc,Common Stock,62.56,$84.51B,Materials,Metals & Mining,Copper,NYSE
AG,First Majestic Silver Corp,Common Stock,16.87,$7.81B,Materials,Metals & Mining,Silver,NYSE
GFI,Gold Fields Ltd,Depository Receipt,32.29,$27.95B,Materials,Metals & Mining,Gold,NYSE
HBM,Hudbay Minerals Inc,Common Stock,23,$9.25B,Materials,Metals & Mining,Diversified Metals & Mining,NYSE
HL,Hecla Mining Co,Common Stock,15.29,$9.58B,Materials,Metals & Mining,Silver,NYSE
HMY,Harmony Gold Mining Co Ltd,Depository Receipt,15.33,$8.95B,Materials,Metals & Mining,Gold,NYSE
IAG,IAMGold Corp,Common Stock,14.96,$8.02B,Materials,Metals & Mining,Gold,NYSE
IFF,International Flavors & Fragrances Inc,Common Stock,76.26,$19.73B,Materials,Chemicals,Specialty Chemicals,NYSE
IP,International Paper Company,Common Stock,36.35,$19.19B,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,NYSE
ICL,ICL GROUP LTD,Common Stock,5.25,$6.45B,Materials,Chemicals,Fertilizers & Agricultural Chemicals,NYSE
JHX,James Hardie Industries Plc,Common Stock,24.9,$14.50B,Materials,Construction Materials,Construction Materials,NYSE
KGC,Kinross Gold Corp,Common Stock,23.41,$26.90B,Materials,Metals & Mining,Gold,NYSE
MLM,Martin Marietta Materials Inc,Common Stock,547.33,$33.24B,Materials,Construction Materials,Construction Materials,NYSE
MOS,Mosaic Company (The),Common Stock,21.97,$7.12B,Materials,Chemicals,Fertilizers & Agricultural Chemicals,NYSE
MT,Arcelormittal,Depository Receipt,65.8,$50.12B,Materials,Metals & Mining,Steel,NYSE
NEM,Newmont Corporation,Common Stock,92.49,$95.23B,Materials,Metals & Mining,Gold,NYSE
NEU,NewMarket Corp,Common Stock,781.86,$7.17B,Materials,Chemicals,Specialty Chemicals,NYSE
NUE,Nucor Corp,Common Stock,233.2,$52.55B,Materials,Metals & Mining,Steel,NYSE
PAAS,Pan American Silver Corp,Common Stock,44.43,$17.78B,Materials,Metals & Mining,Gold,NYSE
SCCO,Southern Copper Corporation,Common Stock,188.01,$146.07B,Materials,Metals & Mining,Copper,NYSE
PKG,Packaging Corp Of America,Common Stock,228.21,$20.35B,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,NYSE
PKX,POSCO Holdings Inc,Depository Receipt,51.76,$15.31B,Materials,Metals & Mining,Steel,NYSE
PPG,PPG Industries Inc.,Common Stock,115.71,$25.79B,Materials,Chemicals,Specialty Chemicals,NYSE
RGLD,Royal Gold Inc,Common Stock,194.01,$15.90B,Materials,Metals & Mining,Gold,NASDAQ
VALE,Vale SA,Depository Receipt,14.25,$60.13B,Materials,Metals & Mining,Steel,NYSE
RPM,RPM International Inc,Common Stock,101.53,$12.97B,Materials,Chemicals,Specialty Chemicals,NYSE
RS,Reliance Inc,Common Stock,383.42,$19.56B,Materials,Metals & Mining,Steel,NYSE
RIO,Rio Tinto Group,Depository Receipt,90.55,$111.79B,Materials,Metals & Mining,Diversified Metals & Mining,NYSE
