Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
ADC,Agree Realty Corp,Common Stock (REIT),80.26,$9.68B,Real Estate,Retail REITs,Retail REITs,NYSE
PLD,Prologis Inc,Common Stock (REIT),149.94,$137.50B,Real Estate,Industrial REITs,Industrial REITs,NYSE
AMT,American Tower Corp,Common Stock (REIT),163.39,$77.83B,Real Estate,Specialized REITs,Telecom Tower REITs,NYSE
ARE,Alexandria Real Estate Equities Inc.,Common Stock (REIT),50.61,$8.72B,Real Estate,Health Care REITs,Health Care REITs,NYSE
AVB,AvalonBay Communities Inc.,Common Stock,190.65,$27.25B,Real Estate,Residential REITs,Multi-Family Residential REITs,NYSE
BXP,BXP Inc,Common Stock (REIT),68.31,$10.83B,Real Estate,Office REITs,Office REITs,NYSE
CBRE,CBRE Group Inc,Common Stock,138.27,$40.59B,Real Estate,Real Estate Management & Development,Real Estate Services,NYSE
CCI,Crown Castle Inc,Common Stock (REIT),76.2,$34.12B,Real Estate,Specialized REITs,Telecom Tower REITs,NYSE
CPT,Camden Property Trust,Common Stock (REIT),112.09,$11.34B,Real Estate,Residential REITs,Multi-Family Residential REITs,NYSE
CSGP,CoStar Group Inc,Common Stock,28.5,$12.12B,Real Estate,Real Estate Management & Development,Real Estate Services,NASDAQ
CUZ,Cousins Properties Incorporated,Common Stock (REIT),31.84,$5.19B,Real Estate,Office REITs,Office REITs,NYSE
DLR,Digital Realty Trust Inc,Common Stock (REIT),179.31,$63.04B,Real Estate,Specialized REITs,Data Center REITs,NYSE
EGP,EastGroup Properties Inc.,Common Stock (REIT),221.34,$11.89B,Real Estate,Industrial REITs,Industrial REITs,NYSE
ELS,Equity LifeStyle Properties Inc,Common Stock (REIT),64.9,$12.66B,Real Estate,Residential REITs,Single-Family Residential REITs,NYSE
EQIX,Equinix Inc,Common Stock (REIT),1027.88,$100.33B,Real Estate,Specialized REITs,Data Center REITs,NASDAQ
EQR,Equity Residential,Common Stock,68.29,$25.79B,Real Estate,Residential REITs,Multi-Family Residential REITs,NYSE
ESS,Essex Property Trust Inc.,Common Stock,294.01,$18.88B,Real Estate,Residential REITs,Multi-Family Residential REITs,NYSE
EXR,Extra Space Storage Inc,Common Stock (REIT),145.55,$31.11B,Real Estate,Specialized REITs,Self-Storage REITs,NYSE
FR,First Industrial Realty Trust Inc,Common Stock (REIT),68.46,$9.04B,Real Estate,Industrial REITs,Industrial REITs,NYSE
FRT,Federal Realty Investment Trust,Common Stock (REIT),125.59,$10.85B,Real Estate,Retail REITs,Retail REITs,NYSE
CIGI,Colliers International Group Inc,Common Stock,98.02,$5.09B,Real Estate,Real Estate Management & Development,Real Estate Services,NASDAQ
RHP,Ryman Hospitality Properties Inc,Common Stock (REIT),129.96,$8.07B,Real Estate,Hotel & Resort REITs,Hotel & Resort REITs,NYSE
WELL,Welltower Inc,Common Stock (REIT),246.37,$172.84B,Real Estate,Health Care REITs,Health Care REITs,NYSE
DOC,Healthpeak Properties Inc,Common Stock (REIT),22.6,$15.37B,Real Estate,Health Care REITs,Health Care REITs,NYSE
HST,Host Hotels & Resorts Inc,Common Stock (REIT),24.44,$16.48B,Real Estate,Hotel & Resort REITs,Hotel & Resort REITs,NASDAQ
IRM,Iron Mountain Inc,Common Stock (REIT),125.56,$36.96B,Real Estate,Specialized REITs,Other Specialized REITs,NYSE
JLL,Jones Lang LaSalle Inc,Common Stock,324.44,$15.12B,Real Estate,Real Estate Management & Development,Real Estate Services,NYSE
KIM,Kimco Realty Corp,Common Stock (REIT),26.1,$17.55B,Real Estate,Retail REITs,Retail REITs,NYSE
KRG,Kite Realty Group Trust,Common Stock (REIT),29.83,$6.03B,Real Estate,Retail REITs,Retail REITs,NYSE
