Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
AEE,Ameren Corporation,Common Stock,109.94,$30.56B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
AEP,American Electric Power Co Inc,Common Stock,130.48,$74.39B,Utilities,Electric Utilities,Electric Utilities,NASDAQ
AES,AES Corp (The),Common Stock,14.82,$10.55B,Utilities,Independent Power & Renewable Electricity Producers,Independent Power Producers & Energy Traders,NYSE
ATO,Atmos Energy Corp,Common Stock,175.05,$29.60B,Utilities,Gas Utilities,Gas Utilities,NYSE
BKH,Black Hills Corp,Common Stock,74.3,$5.67B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
AXIA,AXIA Energia SA,Depository Receipt,9.98,$19.62B,Utilities,Electric Utilities,Electric Utilities,NYSE
CMS,CMS Energy Corp,Common Stock,72.5,$22.51B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
CNP,CenterPoint Energy Inc.,Common Stock,42.72,$28.12B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
D,Dominion Energy Inc,Common Stock,69.85,$61.88B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
DTE,DTE Energy Co,Common Stock,145.03,$30.36B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
DUK,Duke Energy Corp,Common Stock,125.91,$98.11B,Utilities,Electric Utilities,Electric Utilities,NYSE
ED,Consolidated Edison Inc.,Common Stock,109.81,$40.93B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
EIX,Edison International,Common Stock,78.17,$29.73B,Utilities,Electric Utilities,Electric Utilities,NYSE
EMA,Emera Inc,Common Stock,53.58,$16.69B,Utilities,Electric Utilities,Electric Utilities,NYSE
ETR,Entergy corporation,Common Stock,112.22,$51.24B,Utilities,Electric Utilities,Electric Utilities,NYSE
EXC,Exelon Corp,Common Stock,45.89,$47.03B,Utilities,Electric Utilities,Electric Utilities,NASDAQ
FE,FirstEnergy Corp.,Common Stock,48.39,$28.08B,Utilities,Electric Utilities,Electric Utilities,NYSE
NEE,NextEra Energy Inc,Common Stock,87.93,$183.53B,Utilities,Electric Utilities,Electric Utilities,NYSE
FTS,Fortis Inc,Common Stock,57.57,$29.68B,Utilities,Electric Utilities,Electric Utilities,NYSE
BEP,Brookfield Renewable Partners LP,Unit Trust Fund,32.18,$9.81B,Utilities,Independent Power & Renewable Electricity Producers,Renewable Electricity,NYSE
IDA,IDACORP Inc.,Common Stock,145.8,$8.15B,Utilities,Electric Utilities,Electric Utilities,NYSE
KEP,Korea Electric Power Corp,Depository Receipt,11.73,$14.53B,Utilities,Electric Utilities,Electric Utilities,NYSE
LNT,Alliant Energy Corporation,Common Stock,73.11,$19.10B,Utilities,Electric Utilities,Electric Utilities,NASDAQ
NFG,National Fuel Gas Co,Common Stock,80.88,$7.71B,Utilities,Gas Utilities,Gas Utilities,NYSE
NI,NiSource Inc,Common Stock,45.37,$21.75B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
NJR,New Jersey Resources Corp,Common Stock,58.4,$5.91B,Utilities,Gas Utilities,Gas Utilities,NYSE
NRG,NRG Energy Inc,Common Stock,131.6,$27.55B,Utilities,Electric Utilities,Electric Utilities,NYSE
ES,Eversource Energy,Common Stock,73.05,$27.85B,Utilities,Electric Utilities,Electric Utilities,NYSE
OGE,OGE Energy Corp,Common Stock,48.33,$10.02B,Utilities,Electric Utilities,Electric Utilities,NYSE
ORA,Ormat Technologies Inc,Common Stock,105.1,$6.36B,Utilities,Independent Power & Renewable Electricity Producers,Renewable Electricity,NYSE
PCG,PG&E Corp,Common Stock,17.49,$38.38B,Utilities,Electric Utilities,Electric Utilities,NYSE
PEG,Public Service Enterprise Group Inc,Common Stock,77.43,$38.78B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
TXNM,TXNM Energy Inc,Common Stock,58.09,$6.40B,Utilities,Electric Utilities,Electric Utilities,NYSE
PNW,Pinnacle West Capital Corp,Common Stock,105.65,$12.88B,Utilities,Electric Utilities,Electric Utilities,NYSE
PPL,PPL Corp,Common Stock,35.41,$26.66B,Utilities,Electric Utilities,Electric Utilities,NYSE
SBS,Companhia de Saneamento Basico do Estado de Sao Pa,Depository Receipt,5.68,$20.27B,Utilities,Water Utilities,Water Utilities,NYSE
SO,Southern Co (The),Common Stock,93.85,$106.48B,Utilities,Electric Utilities,Electric Utilities,NYSE
SRE,Sempra,Common Stock,90.59,$59.28B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
SWX,Southwest Gas Holdings Inc,Common Stock,92.22,$6.64B,Utilities,Gas Utilities,Gas Utilities,NYSE
UGI,UGI Corp,Common Stock,36.49,$7.87B,Utilities,Gas Utilities,Gas Utilities,NYSE
WEC,WEC Energy Group Inc,Common Stock,111.82,$36.66B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
EVRG,Evergy Inc,Common Stock,84.92,$19.63B,Utilities,Electric Utilities,Electric Utilities,NASDAQ
