Ticker,Price,EMA_200,% vs EMA,Above EMA,Ret 3m (%),Ret 6m (%),Ret 1y (%),Signal
PBR-A,16.78,12.59,33.26,✓,47.97,39.14,43.3,BUY/HOLD
NTR,82.85,62.43,32.72,✓,38.5,45.66,36.38,BUY/HOLD
XOM,156.12,123.13,26.79,✓,26.12,35.25,44.01,BUY/HOLD
INTC,45.77,36.11,26.74,✓,0.48,20.04,108.05,BUY/HOLD
COP,121.89,97.12,25.51,✓,25.98,42.78,35.06,BUY/HOLD
CAT,693.99,555.82,24.86,✓,12.63,23.53,78.84,BUY/HOLD
TTE,82.75,66.34,24.73,✓,29.44,32.91,39.2,BUY/HOLD
ASML,1345.69,1081.51,24.43,✓,5.78,32.5,72.37,BUY/HOLD
BP,42.67,34.56,23.46,✓,26.05,19.8,46.98,BUY/HOLD
CVX,196.82,159.43,23.45,✓,22.6,29.64,37.86,BUY/HOLD
FDX,351.68,285.68,23.1,✓,13.04,35.42,51.94,BUY/HOLD
SHEL,89.43,73.1,22.34,✓,27.44,20.55,31.81,BUY/HOLD
JNJ,241.52,198.79,21.49,✓,18.79,30.97,58.52,BUY/HOLD
ERIC,11.44,9.43,21.35,✓,22.48,17.57,36.26,BUY/HOLD
VZ,51.38,42.45,21.04,✓,29.19,30.58,26.24,BUY/HOLD
RIO,87.83,74.29,18.23,✓,11.29,30.23,60.38,BUY/HOLD
RTX,204.52,173.21,18.07,✓,8.86,16.41,41.8,BUY/HOLD
HWM,236.75,200.69,17.97,✓,8.53,14.63,31.58,BUY/HOLD
NGG,90.9,77.16,17.81,✓,13.45,18.58,29.96,BUY/HOLD
MRK,115.61,98.45,17.44,✓,4.6,35.14,45.55,BUY/HOLD
GILD,144.99,123.61,17.29,✓,20.41,23.51,32.22,BUY/HOLD
TSM,338.31,289.81,16.73,✓,4.54,18.4,48.49,BUY/HOLD
NVS,153.44,131.45,16.73,✓,11.71,25.14,29.47,BUY/HOLD
DD,44.9,38.69,16.06,✓,2.9,13.84,49.17,BUY/HOLD
NEE,92.78,80.35,15.46,✓,16.93,12.05,26.79,BUY/HOLD
BHP,68.74,59.7,15.14,✓,13.57,27.07,41.92,BUY/HOLD
MT,50.74,44.11,15.03,✓,8.28,30.76,58.43,BUY/HOLD
GSK,53.39,46.58,14.62,✓,6.81,16.43,43.73,BUY/HOLD
WMT,126.52,110.69,14.3,✓,10.47,23.58,27.91,BUY/HOLD
AMGN,366.21,321.91,13.76,✓,13.08,15.98,27.8,BUY/HOLD
