Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
ALV,Autoliv Inc,Common Stock,110.51,$7.80B,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,NYSE
AMZN,Amazon.com Inc,Common Stock,221.25,$2.29T,Consumer Discretionary,Broadline Retail,Broadline Retail,NASDAQ
AN,AutoNation Inc,Common Stock,196.91,$6.64B,Consumer Discretionary,Specialty Retail,Automotive Retail,NYSE
AZO,AutoZone Inc,Common Stock,3464.93,$55.81B,Consumer Discretionary,Specialty Retail,Automotive Retail,NYSE
BBY,Best Buy Co Inc,Common Stock,64.48,$13.39B,Consumer Discretionary,Specialty Retail,Computer & Electronics Retail,NYSE
BWA,BorgWarner Inc,Common Stock,54.96,$10.80B,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,NYSE
BYD,Boyd Gaming Corp,Common Stock,86.21,$6.28B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,NYSE
CCL,Carnival Corporation & Plc,Common Stock,28.03,$31.22B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NYSE
CHDN,Churchill Downs Inc,Common Stock,88.48,$6.17B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,NASDAQ
TPR,Tapestry Inc,Common Stock,150.57,$28.39B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",NYSE
TCOM,Trip com Group Ltd,Depository Receipt,51.87,$32.82B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NASDAQ
DDS,Dillard's Inc.,Common Stock,596.74,$8.98B,Consumer Discretionary,Broadline Retail,Broadline Retail,NYSE
DECK,Deckers Outdoor Corp,Common Stock,106.35,$14.23B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear,NYSE
DHI,D.R. Horton Inc,Common Stock,142.68,$39.71B,Consumer Discretionary,Household Durables,Homebuilding,NYSE
DKS,DICK'S Sporting Goods Inc,Common Stock,204.75,$17.84B,Consumer Discretionary,Specialty Retail,Other Specialty Retail,NYSE
DPZ,Domino's Pizza Inc,Common Stock,376.24,$12.38B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NASDAQ
DRI,Darden Restaurants Inc,Common Stock,195.65,$21.83B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NYSE
EAT,Brinker International Inc.,Common Stock,153.65,$6.46B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NYSE
EBAY,eBay Inc.,Common Stock,96.79,$43.01B,Consumer Discretionary,Broadline Retail,Broadline Retail,NASDAQ
F,Ford Motor Co,Common Stock,12.18,$46.21B,Consumer Discretionary,Automobiles,Automobile Manufacturers,NYSE
STLA,Stellantis NV,Common Stock,7.76,$21.55B,Consumer Discretionary,Automobiles,Automobile Manufacturers,NYSE
GIL,Gildan Activewear Inc,Common Stock,57.57,$10.02B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",NYSE
GME,GameStop Corp.,Common Stock,22.91,$10.51B,Consumer Discretionary,Specialty Retail,Computer & Electronics Retail,NYSE
GPC,Genuine Parts Co,Common Stock,107.41,$14.45B,Consumer Discretionary,Distributors,Distributors,NYSE
GAP,Gap Inc,Common Stock,25.43,$9.03B,Consumer Discretionary,Specialty Retail,Apparel Retail,NYSE
GRMN,Garmin Ltd,Common Stock,252.79,$46.44B,Consumer Discretionary,Household Durables,Consumer Electronics,NYSE
HAS,Hasbro Inc.,Common Stock,93.85,$12.58B,Consumer Discretionary,Leisure Products,Leisure Products,NASDAQ
HD,Home Depot Inc. (The),Common Stock,336.16,$317.50B,Consumer Discretionary,Specialty Retail,Home Improvement Retail,NYSE
HMC,Honda Motor Co Ltd,Depository Receipt,24.5,$30.48B,Consumer Discretionary,Automobiles,Automobile Manufacturers,NYSE
KMX,CarMax Inc,Common Stock,44.24,$6.14B,Consumer Discretionary,Specialty Retail,Automotive Retail,NYSE
LAD,Lithia Motors Inc.,Common Stock,263.28,$6.09B,Consumer Discretionary,Specialty Retail,Automotive Retail,NYSE
LEN,Lennar Corp,Common Stock,88.63,$18.54B,Consumer Discretionary,Household Durables,Homebuilding,NYSE
LKQ,LKQ Corporation,Common Stock,29.51,$7.35B,Consumer Discretionary,Distributors,Distributors,NASDAQ
LOW,Lowe's Cos Inc,Common Stock,243.66,$129.72B,Consumer Discretionary,Specialty Retail,Home Improvement Retail,NYSE
LVS,Las Vegas Sands Corp,Common Stock,54.6,$35.85B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,NYSE
