Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
IMO,Imperial Oil Ltd,Common Stock,129.75,$64.01B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,AMEX
UEC,Uranium Energy Corp,Common Stock,13.96,$6.43B,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,AMEX
APA,APA Corporation,Common Stock,38.75,$15.18B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NASDAQ
BKR,Baker Hughes a GE Co,Common Stock,63.16,$60.75B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NASDAQ
GLNG,Golar LNG Ltd,Common Stock,54.87,$5.53B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NASDAQ
PAA,Plains All American Pipeline LP,Unit Trust Fund,21.71,$15.70B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NASDAQ
WFRD,Weatherford International plc,Common Stock,102.2,$6.91B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NASDAQ
FANG,Diamondback Energy Inc,Common Stock,186.47,$54.99B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NASDAQ
VNOM,Viper Energy Inc,Common Stock,45.62,$16.79B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NASDAQ
CHRD,Chord Energy Corp,Common Stock,134.93,$8.24B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NASDAQ
EXE,Expand Energy Corporation,Common Stock,100.19,$24.50B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NASDAQ
BP,BP plc,Depository Receipt,45.89,$123.62B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
CCJ,Cameco Corp,Common Stock,115.9,$48.01B,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,NYSE
CNQ,Canadian Natural Resources Ltd,Common Stock,46.43,$102.55B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
CNX,CNX Resources Corp,Common Stock,38.58,$5.64B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
CTRA,Coterra Energy Inc,Common Stock,33.46,$26.51B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
COP,Conocophillips,Common Stock,125.22,$160.61B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
CRK,Comstock Resources Inc,Common Stock,18.55,$5.68B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
CVX,Chevron Corp,Common Stock,192.89,$402.15B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
DVN,Devon Energy Corp,Common Stock,47.91,$31.04B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
E,Eni SpA,Depository Receipt,55.31,$84.63B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
OVV,Ovintiv Inc,Common Stock,56.78,$17.21B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
ENB,Enbridge Inc,Common Stock,54.48,$118.67B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
EOG,EOG Resources Inc.,Common Stock,139.05,$77.27B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
EPD,Enterprise Products Partners LP,Unit Trust Fund,38.03,$83.03B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
EQT,EQT Corp,Common Stock,60.18,$37.89B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
FRO,Frontline plc,Common Stock,36.15,$7.79B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
FTI,TechnipFMC plc,Common Stock,71.82,$29.28B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NYSE
HAL,Halliburton Co,Common Stock,37.8,$32.34B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NYSE
LNG,Cheniere Energy Inc,Common Stock,275.21,$59.75B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
MUR,Murphy Oil Corp,Common Stock,39.1,$6.13B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
NOV,NOV Inc,Common Stock,19.14,$7.05B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NYSE
OKE,ONEOK Inc,Common Stock,86.77,$57.10B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,NYSE
OXY,Occidental Petroleum Corp,Common Stock,59.77,$62.42B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
PBR,Petroleo Brasileiro S.A.- Petrobras,Depository Receipt,19.98,$77.06B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
PBR-A,Petroleo Brasileiro S.A.- Petrobras,Depository Receipt,18.23,$51.28B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,NYSE
RIG,Transocean Ltd,Common Stock,6.7,$7.39B,Energy,Energy Equipment & Services,Oil & Gas Drilling,NYSE
RRC,Range Resources Corp.,Common Stock,43.33,$10.42B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,NYSE
SLB,SLB Ltd,Common Stock,51.88,$75.58B,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NYSE
