Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
A,Agilent Technologies Inc,Common Stock,116.92,$32.18B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NYSE
COR,Cencora Inc,Common Stock,324.93,$62.42B,Health Care,Health Care Providers & Services,Health Care Distributors,NYSE
ABT,Abbott Laboratories,Common Stock,103.56,$176.95B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NYSE
ALGN,Align Technology Inc,Common Stock,176.83,$11.89B,Health Care,Health Care Equipment & Supplies,Health Care Supplies,NASDAQ
ALKS,Alkermes Plc,Common Stock,34.77,$5.49B,Health Care,Biotechnology,Biotechnology,NASDAQ
ALNY,Alnylam Pharmaceuticals Inc,Common Stock,327.25,$42.63B,Health Care,Biotechnology,Biotechnology,NASDAQ
AMGN,Amgen Inc,Common Stock,349.81,$183.28B,Health Care,Biotechnology,Biotechnology,NASDAQ
ARWR,Arrowhead Pharmaceuticals Inc,Common Stock,64.36,$8.57B,Health Care,Biotechnology,Biotechnology,NASDAQ
AZN,Astrazeneca PLC,Common Stock,204.27,$311.45B,Health Care,Pharmaceuticals,Pharmaceuticals,NYSE
BAX,Baxter International Inc,Common Stock,17.24,$8.58B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NYSE
BDX,Becton Dickinson and Co,Common Stock,157.09,$44.12B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NYSE
BIIB,Biogen Inc,Common Stock,179.9,$25.77B,Health Care,Biotechnology,Biotechnology,NASDAQ
BIO,Bio-Rad Laboratories Inc,Common Stock,281.15,$6.09B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NYSE
BMRN,BioMarin Pharmaceutical Inc,Common Stock,57.2,$10.81B,Health Care,Biotechnology,Biotechnology,NASDAQ
BMY,Bristol-Myers Squibb Co,Common Stock,59.2,$117.75B,Health Care,Pharmaceuticals,Pharmaceuticals,NYSE
BRKR,Bruker Corporation,Common Stock,38.25,$5.58B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NASDAQ
BSX,Boston Scientific Corp,Common Stock,62.56,$91.93B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NYSE
CAH,Cardinal Health Inc,Common Stock,215.13,$50.07B,Health Care,Health Care Providers & Services,Health Care Distributors,NYSE
CHE,Chemed Corp,Common Stock,395.25,$5.68B,Health Care,Health Care Providers & Services,Health Care Services,NYSE
CI,The Cigna Group,Common Stock,277.56,$72.31B,Health Care,Health Care Providers & Services,Health Care Services,NYSE
CNC,Centene Corp,Common Stock,37.28,$17.86B,Health Care,Health Care Providers & Services,Managed Health Care,NYSE
COO,Cooper Cos Inc (The),Common Stock,71.73,$13.59B,Health Care,Health Care Equipment & Supplies,Health Care Supplies,NASDAQ
CRL,Charles River Laboratories International Inc,Common Stock,175.07,$8.37B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NYSE
CVS,CVS Health Corp,Common Stock,78.79,$100.25B,Health Care,Health Care Providers & Services,Health Care Services,NYSE
CYTK,Cytokinetics Inc,Common Stock,65.77,$8.06B,Health Care,Biotechnology,Biotechnology,NASDAQ
DGX,Quest Diagnostics Inc,Common Stock,198.81,$21.78B,Health Care,Health Care Providers & Services,Health Care Services,NYSE
DHR,Danaher Corp,Common Stock,196.19,$135.18B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NYSE
DVA,DaVita Inc,Common Stock,148.44,$10.00B,Health Care,Health Care Providers & Services,Health Care Services,NYSE
EW,Edwards Lifesciences Corp,Common Stock,81.71,$46.61B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NYSE
EXEL,Exelixis Inc,Common Stock,44.2,$11.42B,Health Care,Biotechnology,Biotechnology,NASDAQ
FMS,Fresenius Medical Care AG,Depository Receipt,23.43,$12.71B,Health Care,Health Care Providers & Services,Health Care Services,NYSE
GILD,Gilead Sciences Inc,Common Stock,141.54,$172.28B,Health Care,Biotechnology,Biotechnology,NASDAQ
GSK,GSK plc,Depository Receipt,57.37,$113.34B,Health Care,Pharmaceuticals,Pharmaceuticals,NYSE
EHC,Encompass Health Corp,Common Stock,106.81,$10.51B,Health Care,Health Care Providers & Services,Health Care Facilities,NYSE
HSIC,Henry Schein Inc,Common Stock,75.53,$8.47B,Health Care,Health Care Providers & Services,Health Care Distributors,NASDAQ
HALO,Halozyme Therapeutics Inc,Common Stock,65.43,$7.53B,Health Care,Biotechnology,Biotechnology,NASDAQ
