Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
HWM,Howmet Aerospace Inc,Common Stock,250,$94.58B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
AAON,AAON Inc,Common Stock,87.37,$6.62B,Industrials,Building Products,Building Products,NASDAQ
ADP,Automatic Data Processing Inc,Common Stock,200.78,$81.98B,Industrials,Professional Services,Human Resource & Employment Services,NASDAQ
AGCO,AGCO Corp,Common Stock,119.91,$8.28B,Industrials,Machinery,Agricultural & Farm Machinery,NYSE
AGX,Argan Inc,Common Stock,588.28,$8.05B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
AIT,Applied Industrial Technologies Inc,Common Stock,280.74,$10.17B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
MATX,Matson Inc,Common Stock,172.49,$5.11B,Industrials,Marine Transportation,Marine Transportation,NYSE
AME,AMETEK Inc,Common Stock,230.49,$49.88B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
AOS,A. O. Smith Corp,Common Stock,66.77,$8.87B,Industrials,Building Products,Building Products,NYSE
ASR,Grupo Aeroportuario del Sureste SAB de CV,Depository Receipt,355.33,$10.04B,Industrials,Transportation Infrastructure,Airport Services,NYSE
ATI,ATI Inc,Common Stock,156.39,$20.10B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
AYI,Acuity Inc,Common Stock,282.31,$8.18B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
BA,Boeing Co,Common Stock,217.8,$165.03B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
CACI,CACI International Inc,Common Stock,578.45,$12.57B,Industrials,Professional Services,Research & Consulting Services,NYSE
CAT,Caterpillar Inc,Common Stock,771.58,$337.07B,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,NYSE
CAR,Avis Budget Group Inc,Common Stock,261.35,$9.01B,Industrials,Ground Transportation,Passenger Ground Transportation,NASDAQ
CAE,CAE Inc.,Common Stock,27.12,$8.54B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
CHRW,C.H. Robinson Worldwide Inc.,Common Stock,172.42,$19.57B,Industrials,Air Freight & Logistics,Air Freight & Logistics,NASDAQ
CLH,Clean Harbors Inc,Common Stock,302.58,$15.81B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
CMI,Cummins Inc.,Common Stock,596.65,$76.98B,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,NYSE
CNI,Canadian National Railway Co,Common Stock,107.66,$64.75B,Industrials,Ground Transportation,Rail Transportation,NYSE
