Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
B,Barrick Mining Corporation,Common Stock,42.51,$71.47B,Materials,Metals & Mining,Gold,NYSE
AEM,Agnico Eagle Mines Ltd,Common Stock,215.59,$105.02B,Materials,Metals & Mining,Gold,NYSE
AGI,Alamos Gold Inc,Common Stock,47.62,$19.52B,Materials,Metals & Mining,Gold,NYSE
ALB,Albemarle Corp,Common Stock,177.44,$20.46B,Materials,Chemicals,Specialty Chemicals,NYSE
APD,Air Products and Chemicals Inc.,Common Stock,296.61,$65.10B,Materials,Chemicals,Industrial Gases,NYSE
ATR,AptarGroup Inc.,Common Stock,132.02,$8.01B,Materials,Containers & Packaging,"Metal, Glass & Plastic Containers",NYSE
AU,AngloGold Ashanti plc,Common Stock,107.42,$51.05B,Materials,Metals & Mining,Gold,NYSE
AVY,Avery Dennison Corp,Common Stock,175.31,$12.88B,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,NYSE
BCPC,Balchem Corp,Common Stock,174.05,$5.44B,Materials,Chemicals,Specialty Chemicals,NASDAQ
BHP,BHP Group Ltd,Depository Receipt,76.96,$186.23B,Materials,Metals & Mining,Diversified Metals & Mining,NYSE
BALL,Ball Corporation,Common Stock,62.1,$15.77B,Materials,Containers & Packaging,"Metal, Glass & Plastic Containers",NYSE
BVN,Compania de Minas Buenaventura SAA,Depository Receipt,38.07,$9.95B,Materials,Metals & Mining,Diversified Metals & Mining,NYSE
CCK,Crown Holdings Inc,Common Stock,107.16,$11.33B,Materials,Containers & Packaging,"Metal, Glass & Plastic Containers",NYSE
CDE,Coeur Mining Inc,Common Stock,19.72,$19.65B,Materials,Metals & Mining,Gold,NYSE
CE,Celanese Corp,Common Stock,63.75,$7.11B,Materials,Chemicals,Specialty Chemicals,NYSE
CENX,Century Aluminum Co,Common Stock,65.57,$6.54B,Materials,Metals & Mining,Aluminum,NASDAQ
CMC,Commercial Metals Co,Common Stock,64.31,$6.78B,Materials,Metals & Mining,Steel,NYSE
CRH,CRH PLC,Common Stock,113.82,$70.76B,Materials,Construction Materials,Construction Materials,NYSE
CX,CEMEX SAB de CV,Depository Receipt,11.78,$17.14B,Materials,Construction Materials,Construction Materials,NYSE
ECL,Ecolab Inc.,Common Stock,273.51,$74.07B,Materials,Chemicals,Specialty Chemicals,NYSE
EGO,Eldorado Gold Corp,Common Stock,35.63,$6.98B,Materials,Metals & Mining,Gold,NYSE
EMN,Eastman Chemical Co,Common Stock,74.27,$8.52B,Materials,Chemicals,Specialty Chemicals,NYSE
EXP,Eagle Materials Inc,Common Stock,195.72,$5.82B,Materials,Construction Materials,Construction Materials,NYSE
FCX,Freeport-McMoRan Inc,Common Stock,65.1,$87.32B,Materials,Metals & Mining,Copper,NYSE
AG,First Majestic Silver Corp,Common Stock,20.91,$10.48B,Materials,Metals & Mining,Silver,NYSE
GFI,Gold Fields Ltd,Depository Receipt,48.67,$41.25B,Materials,Metals & Mining,Gold,NYSE
