Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
AEE,Ameren Corporation,Common Stock,112.86,$30.80B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
AEP,American Electric Power Co Inc,Common Stock,134.71,$72.25B,Utilities,Electric Utilities,Electric Utilities,NASDAQ
AES,AES Corp (The),Common Stock,14.4,$10.29B,Utilities,Independent Power & Renewable Electricity Producers,Independent Power Producers & Energy Traders,NYSE
ATO,Atmos Energy Corp,Common Stock,189.66,$31.22B,Utilities,Gas Utilities,Gas Utilities,NYSE
BKH,Black Hills Corp,Common Stock,73.82,$5.55B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
AXIA,AXIA Energia SA,Depository Receipt,12.13,$22.70B,Utilities,Electric Utilities,Electric Utilities,NYSE
CMS,CMS Energy Corp,Common Stock,78.82,$24.21B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
CNP,CenterPoint Energy Inc.,Common Stock,43.68,$28.52B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
D,Dominion Energy Inc,Common Stock,63.2,$55.10B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
DTE,DTE Energy Co,Common Stock,148.78,$30.84B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
DUK,Duke Energy Corp,Common Stock,131.6,$102.57B,Utilities,Electric Utilities,Electric Utilities,NYSE
ED,Consolidated Edison Inc.,Common Stock,113.57,$41.35B,Utilities,Multi-Utilities,Multi-Utilities,NYSE
EIX,Edison International,Common Stock,74.35,$27.95B,Utilities,Electric Utilities,Electric Utilities,NYSE
EMA,Emera Inc,Common Stock,52.86,$16.04B,Utilities,Electric Utilities,Electric Utilities,NYSE
ETR,Entergy corporation,Common Stock,114.61,$52.13B,Utilities,Electric Utilities,Electric Utilities,NYSE
EXC,Exelon Corp,Common Stock,49.17,$50.19B,Utilities,Electric Utilities,Electric Utilities,NASDAQ
FE,FirstEnergy Corp.,Common Stock,51.4,$29.50B,Utilities,Electric Utilities,Electric Utilities,NYSE
NEE,NextEra Energy Inc,Common Stock,94.17,$195.33B,Utilities,Electric Utilities,Electric Utilities,NYSE
FTS,Fortis Inc,Common Stock,57.34,$29.14B,Utilities,Electric Utilities,Electric Utilities,NYSE
BEP,Brookfield Renewable Partners LP,Unit Trust Fund,34.26,$10.04B,Utilities,Independent Power & Renewable Electricity Producers,Renewable Electricity,NYSE
IDA,IDACORP Inc.,Common Stock,146.31,$8.03B,Utilities,Electric Utilities,Electric Utilities,NYSE
KEP,Korea Electric Power Corp,Depository Receipt,14.92,$17.44B,Utilities,Electric Utilities,Electric Utilities,NYSE
